# Filename : results\simulations\PINN_Dynamics_PositionUncertainty.txt
# Version  : PINN_Matrix_Solver_v2.2_DataFixed
# Start    : Fri Dec  5 13:45:44 2025
# (1) time	(2) <x>	(3) <x>-dx	(4) <x>+dx
# ================================================================================
4.1137123746	2.1742086941	1.4916647527	2.8567526355
4.1471571906	2.1217934843	1.4385323808	2.8050545877
4.1806020067	2.0601746650	1.3716336957	2.7487156342
4.2140468227	1.9895280419	1.2909807149	2.6880753689
4.2474916388	1.9103059197	1.1977086318	2.6229032076
4.2809364548	1.8232866721	1.0940260703	2.5525472740
4.3143812709	1.7296061865	0.9829976016	2.4762147714
4.3478260870	1.6307673939	0.8682377055	2.3932970822
4.3812709030	1.5286255914	0.7535896461	2.3036615367
4.4147157191	1.4253489525	0.6428307187	2.2078671862
4.4481605351	1.3233553815	0.5394163627	2.1072944003
4.4816053512	1.2252285777	0.4462624304	2.0041947250
4.5150501672	1.1336177063	0.3655658393	1.9016695734
4.5484949833	1.0511263240	0.2986736472	1.8035790008
4.5819397993	0.9801970784	0.2460255228	1.7143686339
4.6153846154	0.9229991372	0.2072103678	1.6387879066
4.6488294314	0.8813252623	0.1811828904	1.5814676342
4.6822742475	0.8565049335	0.1666565064	1.5463533605
4.7157190635	0.8493389787	0.1626041375	1.5360738199
4.7491638796	0.8600598380	0.1686877685	1.5514319074
4.7826086957	0.8883199815	0.1854060926	1.5912338704
4.8160535117	0.9332092177	0.2138778197	1.6525406157
4.8494983278	0.9932997913	0.2553799538	1.7312196287
4.8829431438	1.0667164144	0.3108574334	1.8225753955
4.9163879599	1.1512268117	0.3805634296	1.9218901937
4.9498327759	1.2443471010	0.4638776354	2.0248165666
4.9832775920	1.3434554689	0.5592762032	2.1276347346
5.0167224080	1.4459071766	0.6644066985	2.2274076546
5.0501672241	1.5491439920	0.7762301395	2.3220578445
5.0836120401	1.6507916690	0.8912083875	2.4103749505
5.1170568562	1.7487400469	1.0055293078	2.4919507860
5.1505016722	1.8412016595	1.1153705234	2.5670327956
5.1839464883	1.9267463177	1.2172011330	2.6362915024
5.2173913043	2.0043108611	1.3081042573	2.7005174649
5.2508361204	2.0731850278	1.3860720669	2.7602979887
5.2842809365	2.1329760539	1.4501955325	2.8157565754
5.3177257525	2.1835560565	1.5006742531	2.8664378598
5.3511705686	2.2249973841	1.5386239682	2.9113708000
5.3846153846	2.2575018548	1.5657339646	2.9492697451
5.4180602007	2.2813300878	1.5838719327	2.9787882429
5.4515050167	2.2967369648	1.5947260189	2.9987479108
5.4849498328	2.3039186362	1.5995340514	3.0083032210
5.5183946488	2.3029754643	1.5989124208	3.0070385079
5.5518394649	2.2938939558	1.5927788337	2.9950090780
5.5852842809	2.2765491620	1.5803623311	2.9727359928
5.6187290970	2.2507273521	1.5603015815	2.9411531228
5.6521739130	2.2161670992	1.5308389711	2.9014952273
5.6856187291	2.1726153921	1.4901138541	2.8551169301
5.7190635452	2.1198941109	1.4365352358	2.8032529861
5.7525083612	2.0579712692	1.3691737800	2.7467687583
5.7859531773	1.9870309054	1.2880774243	2.6859843865
5.8193979933	1.9075354439	1.1944188950	2.6206519927
