# Filename : results\simulations\PINN_Dynamics_MomentumUncertainty.txt
# Version  : PINN_Matrix_Solver_v2.3_Final
# Start    : Sun Dec  7 14:46:24 2025
# (1) time	(2) <p>	(3) <p>-dp	(4) <p>+dp
# ================================================================================
3.8795986622	0.3758473746	-1.9957724275	2.7474671766
3.9130434783	0.1116853908	-2.2947852662	2.5181560477
3.9464882943	-0.1561017434	-2.5593862708	2.2471827841
3.9799331104	-0.4188244637	-2.7810687284	1.9434198011
4.0133779264	-0.6680455896	-2.9537595362	1.6176683570
4.0468227425	-0.8959974041	-3.0741462685	1.2821514603
4.0802675585	-1.0959562998	-3.1418821400	0.9499695404
4.1137123746	-1.2625515137	-3.1596456366	0.6345426093
4.1471571906	-1.3919890130	-3.1330187256	0.3490406995
4.1806020067	-1.4821774304	-3.0701115516	0.1057566908
4.2140468227	-1.5327496591	-2.9808022035	-0.0846971148
4.2474916388	-1.5449808466	-2.8754299870	-0.2145317062
4.2809364548	-1.5216105541	-2.7629410372	-0.2802800710
4.3143812709	-1.4665832936	-2.6489983149	-0.2841682723
4.3478260870	-1.3847270597	-2.5351170922	-0.2343370271
4.3812709030	-1.2813934605	-2.4195586861	-0.1432282349
4.4147157191	-1.1620853482	-2.2994164261	-0.0247542702
4.4481605351	-1.0320982963	-2.1725405187	0.1083439261
4.4816053512	-0.8962008456	-2.0384779941	0.2460763029
4.5150501672	-0.7583752535	-1.8984862034	0.3817356963
4.5484949833	-0.6216357635	-1.7550409662	0.5117694391
4.5819397993	-0.4879355111	-1.6111871674	0.6353161452
4.6153846154	-0.3581665208	-1.4699105216	0.7535774800
4.6488294314	-0.2322503117	-1.3335986992	0.8690980759
4.6822742475	-0.1093099087	-1.2036216567	0.9850018394
4.7157190635	0.0120919529	-1.0800681176	1.1042520235
4.7491638796	0.1336685246	-0.9616922301	1.2290292793
4.7826086957	0.2571021259	-0.8461164957	1.3603207474
4.8160535117	0.3837397577	-0.7302906803	1.4977701958
4.8494983278	0.5143162083	-0.6111453985	1.6397778152
4.8829431438	0.6487275911	-0.4863436557	1.7837988379
4.9163879599	0.7858745422	-0.3550402533	1.9267893377
4.9498327759	0.9235891713	-0.2185873484	2.0657656910
4.9832775920	1.0586536661	-0.0811375295	2.1984448617
5.0167224080	1.1869116516	0.0499417292	2.3238815740
5.0501672241	1.3034664820	0.1640404229	2.4428925411
5.0836120401	1.4029540957	0.2480193701	2.5578888213
5.1170568562	1.4798723683	0.2880236622	2.6717210743
5.1505016722	1.5289444611	0.2722630378	2.7856258844
5.1839464883	1.5454908136	0.1937072670	2.8972743602
5.2173913043	1.5257833699	0.0513368511	3.0002298888
5.2508361204	1.4673564536	-0.1503925212	3.0851054284
5.2842809365	1.3692513532	-0.4030173008	3.1415200072
5.3177257525	1.2321759787	-0.6955114297	3.1598633871
5.3511705686	1.0585665929	-1.0153507401	3.1324839259
5.3846153846	0.8525452222	-1.3492682474	3.0543586918
5.4180602007	0.6197734397	-1.6838628641	2.9234097435
5.4515050167	0.3672102972	-2.0061649153	2.7405855096
5.4849498328	0.1027887576	-2.3041924320	2.5097699472
5.5183946488	-0.1649694127	-2.5674903051	2.2375514798
5.5518394649	-0.4273760950	-2.7876263968	1.9328742068
5.5852842809	-0.6760098360	-2.9586147881	1.6065951162
5.6187290970	-0.9031319296	-3.0772391378	1.2709752786
5.6521739130	-1.1020592272	-3.1432532094	0.9391347550
5.6856187291	-1.2674703250	-3.1594351727	0.6244945228
5.7190635452	-1.3956263677	-3.1314588206	0.3402060852
5.7525083612	-1.4844935765	-3.0675079288	0.0985207758
5.7859531773	-1.5337613470	-2.9775003198	-0.0900223742
5.8193979933	-1.5447568922	-2.8717611231	-0.2177526612
5.8528428094	-1.5202644255	-2.7591552112	-0.2813736397
5.8862876254	-1.4642632936	-2.6452126176	-0.2833139696
5.9197324415	-1.3816048340	-2.5313162819	-0.2318933861
5.9531772575	-1.2776516660	-2.4156522965	-0.1396510356
5.9866220736	-1.1579053612	-2.2953125548	-0.0204981676
6.0200668896	-1.0276488225	-2.1681946400	0.1128969950
6.0535117057	-0.8916282154	-2.0339062644	0.2506498335
6.0869565217	-0.7537960525	-1.8937548374	0.3861627324
6.1204013378	-0.6171322673	-1.7502457486	0.5159812140
6.1538461538	-0.4835541835	-1.6064316266	0.6393232596
6.1872909699	-0.3539196042	-1.4652863674	0.7574471590
6.2207357860	-0.2281203084	-1.3291697936	0.8729291769
6.2541806020	-0.1052565399	-1.1994124764	0.9888993966
6.2876254181	0.0161229092	-1.0760582801	1.1083040984
6.3210702341	0.1377352514	-0.9578189611	1.2332894638
6.3545150502	0.2612564611	-0.8422859592	1.3647988815
6.3879598662	0.3880174074	-0.7263970743	1.5024318891
6.4214046823	0.5187282845	-0.6070949369	1.6445515058
6.4548494983	0.6532541826	-0.4820801246	1.7885884898
6.4882943144	0.7904608770	-0.3505696116	1.9314913655
6.5217391304	0.9281447363	-0.2139997362	2.0702892088
6.5551839465	1.0630544334	-0.0766247919	2.2027336586
6.5886287625	1.1910053278	0.0540773607	2.3279332949
6.6220735786	1.3070804708	0.1673958118	2.4467651298
6.6555183946	1.4059056587	0.2501317765	2.5616795409
6.6889632107	1.4819802985	0.2884508974	2.6755096996
6.7224080268	1.5300414630	0.2706826401	2.7894002859
6.7558528428	1.5454357171	0.1899872456	2.9008841886
6.7892976589	1.5244723038	0.0455442392	3.0034003685
6.8227424749	1.4647321638	-0.1580318492	3.0874961767
6.8561872910	1.3653099671	-0.4121708198	3.1427907540
6.8896321070	1.2269706874	-0.7057818249	3.1597231998
6.9230769231	1.0522079278	-1.0263050649	3.1307209205
6.9565217391	0.8451978334	-1.3604597379	3.0508554047
6.9899665552	0.6116495231	-1.6948500940	2.9181491402
7.0234113712	0.3585600458	-2.0165304096	2.7336505013
7.0568561873	0.0938884176	-2.3135609914	2.5013378267
7.0903010033	-0.1738311367	-2.5755463651	2.2278840916
7.1237458194	-0.4359124255	-2.7941294384	1.9223045874
7.1571906355	-0.6839501855	-2.9634118365	1.5955114656
7.1906354515	-0.9102351362	-3.0802735260	1.2598032537
7.2240802676	-1.1081249280	-3.1445688824	0.9283190264
7.2575250836	-1.2723477621	-3.1591756238	0.6144800995
7.2909698997	-1.3992200968	-3.1298589539	0.3314187604
7.3244147157	-1.4867657616	-3.0648754379	0.0913439147
7.3578595318	-1.5347305593	-2.9741811688	-0.0952799498
7.3913043478	-1.5444935671	-2.8680849863	-0.2209021479
7.4247491639	-1.5188833590	-2.7553683151	-0.2823984030
7.4581939799	-1.4619137568	-2.6414272823	-0.2824002314
7.4916387960	-1.3784590393	-2.5275136120	-0.2294044665
7.5250836120	-1.2738924225	-2.4117406444	-0.1360442006
7.5585284281	-1.1537137995	-2.2912010142	-0.0162265848
7.5919732441	-1.0231930486	-2.1638406652	0.1174545680
7.6254180602	-0.8870536745	-2.0293279358	0.2552205868
7.6588628763	-0.7492182457	-1.8890197066	0.3905832152
7.6923076923	-0.6126322859	-1.7454502018	0.5201856300
7.7257525084	-0.4791773107	-1.6016790963	0.6433244750
7.7591973244	-0.3496770058	-1.4606678728	0.7613138611
7.7926421405	-0.2239936051	-1.3247480439	0.8767608336
7.8260869565	-0.1012048386	-1.1952105049	0.9928008277
7.8595317726	0.0201541270	-1.0720542060	1.1123624599
7.8929765886	0.1418041228	-0.9539487464	1.2375569920
7.9264214047	0.2654144396	-0.8384550267	1.3692839059
7.9598662207	0.3922995074	-0.7224996186	1.5070986334
7.9933110368	0.5231446764	-0.6030380106	1.6493273634
8.0267558528	0.6577838420	-0.4778091966	1.7933768805
8.0602006689	0.7950478400	-0.3460931051	1.9361887851
8.0936454849	0.9326973219	-0.2094109258	2.0748055697
8.1270903010	1.0674475731	-0.0721191230	2.2070142692
8.1605351171	1.1950859111	0.0581940104	2.3319778117
8.1939799331	1.3106753902	0.1707174451	2.4506333352
8.2274247492	1.4088320327	0.2521948484	2.5654692169
8.2608695652	1.4840571824	0.2888156192	2.6792987456
8.2943143813	1.5311022372	0.2690320468	2.7931724276
8.3277591973	1.5453402806	0.1861961867	2.9044843745
8.3612040134	1.5231181987	0.0396858427	3.0065505547
8.3946488294	1.4620638184	-0.1657273456	3.0898549825
8.4280936455	1.3613253661	-0.4213681425	3.1440188746
8.4615384615	1.2217249441	-0.7160820621	3.1595319502
8.4949832776	1.0458134445	-1.0372744841	3.1289013731
8.5284280936	0.8378209651	-1.3716514511	3.0472933814
8.5618729097	0.6035038983	-1.7058231729	2.9128309695
8.5953177258	0.3498969275	-2.0268684937	2.7266623486
8.6287625418	0.0849846915	-2.3228905939	2.4928599770
8.6622073579	-0.1826865970	-2.5835541834	2.2181809895
8.6956521739	-0.4444331547	-2.8005776832	1.9117113739
8.7290969900	-0.6918663702	-2.9681506182	1.5844178778
8.7625418060	-0.9173068012	-3.0832494817	1.2486358792
8.7959866221	-1.1141532350	-3.1458293187	0.9175228487
8.8294314381	-1.2771837194	-3.1588672514	0.6044998126
8.8628762542	-1.4027701585	-3.1282194688	0.3226791519
8.8963210702	-1.4889940067	-3.0622144668	0.0842264535
8.9297658863	-1.5356573747	-2.9708451216	-0.1004696278
8.9632107023	-1.5441909993	-2.8644018540	-0.2239801446
8.9966555184	-1.5174675210	-2.7515804730	-0.2833545691
9.0301003344	-1.4595348750	-2.6376422821	-0.2814274678
9.0635451505	-1.3752898788	-2.5237089739	-0.2268707838
9.0969899666	-1.2701159314	-2.4078236248	-0.1324082379
9.1304347826	-1.1495108499	-2.2870817563	-0.0119399434
9.1638795987	-1.0187311363	-2.1594786157	0.1220163432
9.1973244147	-0.8824773511	-2.0247430852	0.2597883831
9.2307692308	-0.7446419230	-1.8842809196	0.3949970736
9.2642140468	-0.6081358693	-1.7406544421	0.5243827035
9.2976588629	-0.4748049045	-1.5969296787	0.6473198696
9.3311036789	-0.3454387049	-1.4560551083	0.7651776986
9.3645484950	-0.2198701559	-1.3203334760	0.8805931642
9.3979933110	-0.0971547434	-1.1910157176	0.9967062308
9.4314381271	0.0241856716	-1.0680558234	1.1164271667
9.4648829431	0.1458751967	-0.9500814797	1.2418318731
9.4983277592	0.2695761008	-0.8346235789	1.3737757805
9.5317725753	0.3965860695	-0.7185982081	1.5117703472
9.5652173913	0.5275653613	-0.5989745568	1.6541052794
9.5986622074	0.6623165075	-0.4735308787	1.7981638937
9.6321070234	0.7996353295	-0.3416108355	1.9408814946
9.6655518395	0.9372467895	-0.2048211324	2.0793147113
9.6989966555	1.0718329152	-0.0676208620	2.2112866925
9.7324414716	1.1991532090	0.0622912255	2.3360151925
9.7658862876	1.3142510367	0.1740048023	2.4544972711
9.7993311037	1.4117330163	0.2542080895	2.5692579432
9.8327759197	1.4861028344	0.2891174701	2.6830881988
9.8662207358	1.5321266277	0.2673111190	2.7969421364
9.8996655518	1.5452043900	0.1823341755	2.9080746044
9.9331103679	1.5217209924	0.0337619213	3.0096800635
9.9665551839	1.4593514150	-0.1734786358	3.0921814658
10.0000000000	1.3572976111	-0.4306088250	3.1452040472
