# Filename :          results/figures/PINN_Dynamics_PositionUncertainty.txt
# Program version :   PINN_Matrix_Solver_v2.1_FixedPhase_Hermitian
# Start:              Wed Dec  3 23:27:08 2025
# (1) time	(2) expected position	(3) expected position - uncertainty	(4) expected position + uncertainty
# ================================================================================
3.5117056856	1.7787496889	1.0410577924	2.5164415854
3.5451505017	1.6823656365	0.9277527355	2.4369785376
3.5785953177	1.5816779805	0.8125645858	2.3507913753
3.6120401338	1.4786997010	0.6993391806	2.2580602213
3.6454849498	1.3757289454	0.5917277668	2.1597301241
3.6789297659	1.2752753756	0.4929498553	2.0576008960
3.7123745819	1.1799676727	0.4055935651	1.9543417804
3.7458193980	1.0924472455	0.3314575934	1.8534368976
3.7792642140	1.0152542611	0.2714516182	1.7590569041
3.8127090301	0.9507127871	0.2255880774	1.6758374969
3.8461538462	0.9008220396	0.1931110599	1.6085330194
3.8795986622	0.8671604654	0.1727999594	1.5615209714
3.9130434783	0.8508086545	0.1634302291	1.5381870799
3.9464882943	0.8522959401	0.1642674130	1.5403244673
3.9799331104	0.8715740652	0.1753825233	1.5677656070
4.0133779264	0.9080195873	0.1976209162	1.6184182583
4.0468227425	0.9604648697	0.2322422262	1.6886875132
4.0802675585	1.0272556911	0.2804184796	1.7740929026
4.1137123746	1.1063318308	0.3427940955	1.8698695660
4.1471571906	1.1953255573	0.4192122728	1.9714388418
4.1806020067	1.2916718733	0.5086121442	2.0747316024
4.2140468227	1.3927237104	0.6090551259	2.1763922949
4.2474916388	1.4958650816	0.7178360526	2.2738941105
4.2809364548	1.5986154822	0.8316488798	2.3655820846
4.3143812709	1.6987195716	0.9467925884	2.4506465548
4.3478260870	1.7942173050	1.0594146953	2.5290199147
4.3812709030	1.8834911404	1.1657940546	2.6011882263
4.4147157191	1.9652886088	1.2626564585	2.6679207592
4.4481605351	2.0387202971	1.3474921058	2.7299484884
4.4816053512	2.1032350139	1.4188103780	2.7876596498
4.5150501672	2.1585754825	1.4762497835	2.8409011815
4.5484949833	2.2047192045	1.5204880918	2.8889503172
4.5819397993	2.2418100882	1.5529667561	2.9306534204
4.6153846154	2.2700869564	1.5755100472	2.9646638656
4.6488294314	2.2898151159	1.5899388309	2.9896914009
4.6822742475	2.3012267779	1.5977512008	3.0047023551
4.7157190635	2.3044752962	1.5998999398	3.0090506526
4.7491638796	2.2996070017	1.5966678656	3.0025461377
4.7826086957	2.2865529464	1.5876332073	2.9854726854
4.8160535117	2.2651412331	1.5717216332	2.9585608330
4.8494983278	2.2351289201	1.5473498062	2.9229080339
4.8829431438	2.1962508792	1.5126679105	2.8798338479
4.9163879599	2.1482815670	1.4658959933	2.8306671407
4.9498327759	2.0911045448	1.4057162116	2.7764928779
4.9832775920	2.0247838473	1.3316409012	2.7179267934
5.0167224080	1.9496309918	1.2442559605	2.6550060231
5.0501672241	1.8662615816	1.1452695173	2.5872536459
5.0836120401	1.7756360673	1.0373671190	2.5139050155
5.1170568562	1.6790802553	0.9239379702	2.4342225403
5.1505016722	1.5782825147	0.8087537332	2.3478112962
5.1839464883	1.4752662465	0.6956579958	2.2548744972
5.2173913043	1.3723379180	0.5882912610	2.1563845750
5.2508361204	1.2720127175	0.4898550662	2.0541703688
5.2842809365	1.1769215133	0.4029135868	1.9509294397
5.3177257525	1.0897042040	0.3292371940	1.8501712139
5.3511705686	1.0128956087	0.2697052711	1.7560859462
5.3846153846	0.9488106991	0.2243017748	1.6733196234
5.4180602007	0.8994361693	0.1922494761	1.6066228624
5.4515050167	0.8663350516	0.1723195939	1.5603505092
5.4849498328	0.8505703454	0.1632963068	1.5378443841
5.5183946488	0.8526524705	0.1644684785	1.5408364625
5.5518394649	0.8725138705	0.1759354754	1.5690922657
5.5852842809	0.9095123803	0.1985636222	1.6204611385
5.6187290970	0.9624631416	0.2336178523	1.6913084310
5.6521739130	1.0296970431	0.2822589702	1.7771351160
5.6856187291	1.1091419882	0.3451081636	1.8731758128
5.7190635452	1.1984218781	0.4219794085	1.9748643476
5.7525083612	1.2949671320	0.5117816840	2.0781525800
5.7859531773	1.3961299265	0.6125487954	2.1797110577
5.8193979933	1.4992971623	0.7215527138	2.2770416108
5.8528428094	1.6019944665	0.8354707643	2.3685181687
5.8862876254	1.7019752960	0.9505927726	2.4533578193
5.9197324415	1.7972903533	1.0630658571	2.5315148494
5.9531772575	1.8863339933	1.1691785125	2.6034894740
5.9866220736	1.9678659669	1.2656769476	2.6700549862
6.0200668896	2.0410086084	1.3500816844	2.7319355324
6.0535117057	2.1052212932	1.4209388389	2.7895037475
6.0869565217	2.1602555572	1.4779240146	2.8425870998
6.1204013378	2.2060955607	1.5217456091	2.8904455123
6.1538461538	2.2428895124	1.5538641862	2.9319148387
6.1872909699	2.2708781813	1.5761098818	2.9656464807
6.2207357860	2.2903266699	1.5902974770	2.9903558628
6.2541806020	2.3014652202	1.5979099788	3.0050204615
6.2876254181	2.3044439816	1.5998794143	3.0090085489
6.3210702341	2.2993054791	1.5964652913	3.0021456669
6.3545150502	2.2859770389	1.5872228606	2.9847312172
6.3879598662	2.2642837931	1.5710580625	2.9575095236
6.4214046823	2.2339811978	1.5463742669	2.9215881288
6.4548494983	2.1948043926	1.5113181229	2.8782906624
6.4882943144	2.1465303160	1.4641185969	2.8289420351
6.5217391304	2.0890473852	1.4034799169	2.7746148535
