# Filename :          results/figures/PINN_Dynamics_MomentumUncertainty.txt
# Program version :   PINN_Matrix_Solver_v2.1_FixedPhase_Hermitian
# Start:              Wed Dec  3 23:27:08 2025
# (1) time	(2) expected momentum	(3) expected momentum - uncertainty	(4) expected momentum + uncertainty
# ================================================================================
7.7926421405	0.2240194634	-0.8767371776	1.3247761044
7.8260869565	0.1012287499	-0.9927796606	1.1952371604
7.8595317726	-0.0201314933	-1.1123421676	1.0720791810
7.8929765886	-0.1417819775	-1.2375361646	0.9539722096
7.9264214047	-0.2653919729	-1.3692615104	0.8384775646
7.9598662207	-0.3922759901	-1.5070741118	0.7225221315
7.9933110368	-0.5231195562	-1.6493006513	0.6030615390
8.0267558528	-0.6577568250	-1.7933483542	0.4778347041
8.0602006689	-0.7950189533	-1.9361591480	0.3461212415
8.0936454849	-0.9326669495	-2.0747756881	0.2094417892
8.1270903010	-1.0674164631	-2.2069849642	0.0721520380
8.1605351171	-1.1950551525	-2.3319496355	-0.0581606696
8.1939799331	-1.3106463604	-2.4506064007	-0.1706863201
8.2274247492	-1.4088063179	-2.5654432033	-0.2521694325
8.2608695652	-1.4840364771	-2.6792731980	-0.2887997562
8.2943143813	-1.5310882293	-2.7931473000	-0.2690291586
8.3277591973	-1.5453345296	-2.9044605073	-0.1862085519
8.3612040134	-1.5231220167	-3.0065297707	-0.0397142627
8.3946488294	-1.4620781613	-3.0898397891	0.1656834664
8.4280936455	-1.3613507441	-3.1440120047	0.4213105166
8.4615384615	-1.2217613578	-3.1595359411	0.7160132256
8.4949832776	-1.0458603520	-3.1289182550	1.0371975511
8.5284280936	-0.8378772830	-3.0473244684	1.3715699025
8.5618729097	-0.6035680375	-2.9128767318	1.7057406569
8.5953177258	-0.3499668624	-2.7267223483	2.0267886236
8.6287625418	-0.0850580579	-2.4929328593	2.3228167434
8.6622073579	0.1826123807	-2.2182645238	2.5834892852
8.6956521739	0.4443607512	-1.9118025385	2.8005240409
8.7290969900	0.6917983804	-1.5845129814	2.9681097422
8.7625418060	0.9172456239	-1.2487307128	3.0832219606
8.7959866221	1.1141009391	-0.9176128601	3.1458147383
8.8294314381	1.2771419368	-0.6045803073	3.1588641809
8.8628762542	1.4027400041	-0.3227455354	3.1282255437
8.8963210702	1.4889760316	-0.0842745596	3.0622266229
8.9297658863	1.5356515551	0.1004430611	2.9708600491
8.9632107023	1.5441967613	0.2239768247	2.8644166978
8.9966555184	1.5174837995	0.2833739766	2.7515936224
9.0301003344	1.4595602027	0.2814665737	2.6376538317
