# Filename : results\simulations\PINN_Dynamics_PositionUncertainty.txt
# Version  : PINN_Matrix_Solver_v2.3_Final
# Start    : Sat Dec  6 00:33:51 2025
# (1) time	(2) <x>	(3) <x>-dx	(4) <x>+dx
# ================================================================================
2.4414715719	0.9065509124	0.1966915605	1.6164102643
2.4749163880	0.9584890856	0.2308844032	1.6860937681
2.5083612040	1.0248343999	0.2785996164	1.7710691835
2.5418060201	1.1035386732	0.3405042802	1.8665730662
2.5752508361	1.1922427355	0.4164705162	1.9680149547
2.6086956522	1.2883863839	0.5054675325	2.0713052353
2.6421404682	1.3893235198	0.6055844399	2.1730625997
2.6755852843	1.4924354720	0.7141391338	2.2707318101
2.7090301003	1.5952357828	0.8278424826	2.3626290831
2.7424749164	1.6954604573	0.9430029784	2.4479179362
2.7759197324	1.7911388016	1.0557689628	2.5265086403
2.8093645485	1.8806414247	1.1624101369	2.5988727125
2.8428093645	1.9627036339	1.2596323872	2.6657748806
2.8762541806	2.0364242144	1.3448960372	2.7279523916
2.9096989967	2.1012413094	1.4166740021	2.7858086168
2.9431438127	2.1568886945	1.4745676877	2.8392097013
2.9765886288	2.2033370533	1.5192239465	2.8874501602
3.0100334448	2.2407258224	1.5520646351	2.9293870098
3.0434782609	2.2692917092	1.5749076063	2.9636758120
3.0769230769	2.2893000709	1.5895792971	2.9890208446
3.1103678930	2.3009849628	1.5975924739	3.0043774518
3.1438127090	2.3045028556	1.5999203845	3.0090853267
3.1772575251	2.2999038448	1.5968689969	3.0029386927
3.2107023411	2.2871227173	1.5880395008	2.9862059338
3.2441471572	2.2659906057	1.5723774317	2.9596037797
3.2775919732	2.2362662765	1.5483130594	2.9242194936
3.3110367893	2.1976844808	1.5140005903	2.8813683713
3.3444816054	2.1500173700	1.4676517673	2.8323829726
3.3779264214	2.0931438448	1.4079273094	2.7783603801
3.4113712375	2.0271209547	1.3343073706	2.7199345388
3.4448160535	1.9522511434	1.2473404685	2.6571618184
3.4782608696	1.8691392818	1.1486989978	2.5895795659
3.5117056856	1.7787340251	1.0410400375	2.5164280127
3.5451505017	1.6823490442	0.9277345173	2.4369635710
3.5785953177	1.5816610332	0.8125464828	2.3507755837
3.6120401338	1.4786830010	0.6993216620	2.2580443400
3.6454849498	1.3757130916	0.5917111644	2.1597150187
3.6789297659	1.2752609310	0.4929343533	2.0575875086
3.7123745819	1.1799551349	0.4055792090	1.9543310608
3.7458193980	1.0924370206	0.3314443225	1.8534297188
3.7792642140	1.0152466438	0.2714393248	1.7590539628
3.8127090301	0.9507079471	0.2255766931	1.6758392011
3.8461538462	0.9008200162	0.1931006559	1.6085393765
3.8795986622	0.8671611700	0.1727908329	1.5615315072
3.9130434783	0.8508118810	0.1634229283	1.5382008337
3.9464882943	0.8523013820	0.1642626631	1.5403401009
3.9799331104	0.8715813384	0.1753810645	1.5677816123
4.0133779264	0.9080282573	0.1976233198	1.6184331949
4.0468227425	0.9604744809	0.2322487668	1.6887001949
4.0802675585	1.0272657957	0.2804290965	1.7741024950
4.1137123746	1.1063420167	0.3428084262	1.8698756072
4.1471571906	1.1953354719	0.4192297250	1.9714412187
4.1806020067	1.2916812415	0.5086319746	2.0747305084
4.2140468227	1.3927323470	0.6090765134	2.1763881806
4.2474916388	1.4958728956	0.7178581590	2.2738876322
